City,Timestamp,Temperature,Humidity,Description
Ahmedabad,2023-12-24 21:00:00,293.97,31,clear sky
Ahmedabad,2023-12-25 00:00:00,292.74,33,clear sky
Ahmedabad,2023-12-25 03:00:00,293.58,33,clear sky
Ahmedabad,2023-12-25 06:00:00,301.53,21,clear sky
Ahmedabad,2023-12-25 09:00:00,304.75,17,clear sky
Ahmedabad,2023-12-25 12:00:00,302.07,23,clear sky
Ahmedabad,2023-12-25 15:00:00,297.75,28,clear sky
Ahmedabad,2023-12-25 18:00:00,295.46,31,clear sky
Ahmedabad,2023-12-25 21:00:00,293.96,34,clear sky
Ahmedabad,2023-12-26 00:00:00,292.84,35,clear sky
Ahmedabad,2023-12-26 03:00:00,293.8,35,clear sky
Ahmedabad,2023-12-26 06:00:00,301.55,22,clear sky
Ahmedabad,2023-12-26 09:00:00,304.55,18,clear sky
Ahmedabad,2023-12-26 12:00:00,302.16,22,clear sky
Pune,2023-12-21 15:00:00,297.34,37,overcast clouds
Pune,2023-12-21 18:00:00,296.7,39,overcast clouds
Pune,2023-12-21 21:00:00,295.77,38,overcast clouds
Pune,2023-12-22 00:00:00,292.53,41,overcast clouds
Pune,2023-12-22 03:00:00,294.75,36,overcast clouds
Pune,2023-12-22 06:00:00,300.54,26,overcast clouds
Pune,2023-12-22 09:00:00,302.6,24,overcast clouds
Pune,2023-12-22 12:00:00,300.22,30,overcast clouds
Pune,2023-12-22 15:00:00,296.81,31,overcast clouds
Pune,2023-12-22 18:00:00,294.8,32,overcast clouds
Pune,2023-12-22 21:00:00,293.0,34,broken clouds
Pune,2023-12-23 00:00:00,291.65,34,broken clouds
Pune,2023-12-23 03:00:00,294.65,30,overcast clouds
Pune,2023-12-23 06:00:00,301.27,19,broken clouds
Pune,2023-12-23 09:00:00,304.18,16,scattered clouds
Pune,2023-12-23 12:00:00,301.15,22,broken clouds
Pune,2023-12-23 15:00:00,296.75,25,overcast clouds
Pune,2023-12-23 18:00:00,294.49,28,overcast clouds
Pune,2023-12-23 21:00:00,292.83,31,scattered clouds
Pune,2023-12-24 00:00:00,291.54,36,broken clouds
Pune,2023-12-24 03:00:00,294.1,38,few clouds
